dt_zop_rok;kraj_id;quest_class;hermin_class;fin_vyuct_eu;fin_vyuct_narodni_verejne;fin_vyuct_verejne
2008;CZ041;HC;HC;16069983,3886560;2835878,8921610001;18905862,2808169983
2008;CZ041;INFR;INFR;23776561,8100000;20883378,7100000009;44659940,5200000033
2008;CZ041;RTD;RTD;5100000,0000000;900000,0000000000;6000000,0000000000
2008;CZ041;TA;TA;46858157,0422080;8271492,6880979994;55129649,7303059995
2008;CZ042;AIS;AIS2;23910517,0000000;0,0000000000;23910517,0000000000
2008;CZ042;AIS;AIS3;0,0000000;0,0000000000;0,0000000000
2008;CZ042;AIS;AIS4;0,0000000;0,0000000000;0,0000000000
2008;CZ042;AIS;AIS5;0,0000000;0,0000000000;0,0000000000
2008;CZ042;HC;HC;53348308,8386560;9414407,4421609994;62762716,2808170021
2008;CZ042;INFR;INFR;1142870307,2541080;205772561,4841919839;1348642868,7383000851
2008;CZ042;RTD;RTD;0,0000000;0,0000000000;0,0000000000
2008;CZ042;TA;TA;97304650,4422080;17173815,2880980000;114478465,7303059995
2008;CZ051;AIS;AIS2;1977214,0000000;54000,0000000000;2031214,0000000000
2008;CZ051;AIS;AIS3;0,0000000;0,0000000000;0,0000000000
2008;CZ051;AIS;AIS4;0,0000000;0,0000000000;0,0000000000
2008;CZ051;AIS;AIS5;920141,0000000;0,0000000000;920141,0000000000
2008;CZ051;HC;HC;14679641,3886560;2590529,8921610001;17270171,2808169983
2008;CZ051;INFR;INFR;217193164,7900000;69242970,1941685975;286436134,9841685891
2008;CZ051;RTD;RTD;5913009,0000000;0,0000000000;5913009,0000000000
2008;CZ051;TA;TA;23272620,2262910;4394932,1340027889;27667552,3602937870
2008;CZ052;AIS;AIS2;4707083,0000000;0,0000000000;4707083,0000000000
2008;CZ052;AIS;AIS3;0,0000000;239157,5000000000;239157,5000000000
2008;CZ052;AIS;AIS4;0,0000000;0,0000000000;0,0000000000
2008;CZ052;AIS;AIS5;0,0000000;74637,0000000000;74637,0000000000
2008;CZ052;HC;HC;34583669,3744800;6206643,7861299999;40790313,1606099978
2008;CZ052;INFR;INFR;206464177,5500000;52340895,0100000054;258805072,5600000024
2008;CZ052;RTD;RTD;0,0000000;0,0000000000;0,0000000000
2008;CZ052;TA;TA;72605081,9740420;16261836,3528952003;88866918,3269371986
2008;CZ053;AIS;AIS2;31198049,0000000;0,0000000000;31198049,0000000000
2008;CZ053;AIS;AIS3;0,0000000;52750,0000000000;52750,0000000000
2008;CZ053;AIS;AIS4;0,0000000;0,0000000000;0,0000000000
